epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1502.96,1.48645,3.96175,1.86607,0.44034,0.15228,0.07768,0.03575,1.77338,4.24747,2.28403,0.000157705,0.000157705,0.000157705
2,2976.58,1.44883,3.29764,1.83552,0.59734,0.18011,0.16905,0.08116,1.71046,3.80944,2.24176,0.000310108,0.000310108,0.000310108
3,4114.59,1.44435,2.98933,1.8076,0.47124,0.29529,0.24225,0.11959,1.69904,3.23804,2.1945,0.000456227,0.000456227,0.000456227
4,5231.43,1.44051,2.76407,1.77435,0.53453,0.29418,0.26926,0.14149,1.67476,2.92907,2.13607,0.000447726,0.000447726,0.000447726
5,6344.25,1.39986,2.60034,1.74966,0.3492,0.38488,0.3264,0.1707,1.59482,2.83568,2.07898,0.000438301,0.000438301,0.000438301
6,7460.9,1.37529,2.41935,1.70067,0.37389,0.39617,0.36916,0.19252,1.63038,2.48283,2.11311,0.000428876,0.000428876,0.000428876
7,8573.01,1.35108,2.30363,1.68478,0.55684,0.35879,0.39479,0.21077,1.57915,2.42789,2.01973,0.000419451,0.000419451,0.000419451
8,9684.36,1.32244,2.18179,1.65577,0.55831,0.40429,0.44679,0.24689,1.56933,2.1907,2.04652,0.000410026,0.000410026,0.000410026
9,10792.6,1.31712,2.10666,1.65535,0.38825,0.48091,0.42881,0.22447,1.60816,2.13268,2.01416,0.000400602,0.000400602,0.000400602
10,11906.7,1.31246,2.04902,1.65716,0.39265,0.5002,0.46808,0.26127,1.51158,2.15315,1.95945,0.000391177,0.000391177,0.000391177
11,13016.2,1.26301,1.94101,1.59726,0.5205,0.4644,0.48618,0.27479,1.4771,1.9083,1.92527,0.000381752,0.000381752,0.000381752
12,14118.3,1.26263,1.87602,1.61002,0.63599,0.45883,0.5343,0.31326,1.42761,1.79878,1.89743,0.000372327,0.000372327,0.000372327
13,15223.4,1.25056,1.84456,1.59155,0.61501,0.48306,0.53992,0.2991,1.51461,1.81438,1.93705,0.000362902,0.000362902,0.000362902
14,16309.7,1.2344,1.74,1.57674,0.54878,0.58082,0.57739,0.33841,1.41627,1.70809,1.87009,0.000353478,0.000353478,0.000353478
15,17405.6,1.20832,1.72875,1.5572,0.6012,0.59752,0.60969,0.34217,1.40498,1.6198,1.86396,0.000344053,0.000344053,0.000344053
16,18492.3,1.20227,1.68605,1.54431,0.53037,0.57384,0.58451,0.34215,1.43453,1.57694,1.85745,0.000334628,0.000334628,0.000334628
17,19579,1.19325,1.62107,1.5363,0.52963,0.57028,0.59147,0.3553,1.41207,1.598,1.84199,0.000325203,0.000325203,0.000325203
18,20676.6,1.17696,1.5994,1.53141,0.73508,0.56889,0.65918,0.38894,1.37527,1.53231,1.82877,0.000315778,0.000315778,0.000315778
19,21777.9,1.16085,1.55294,1.51311,0.56948,0.55514,0.60514,0.37395,1.36254,1.52511,1.8039,0.000306354,0.000306354,0.000306354
20,22882.1,1.15783,1.51742,1.50326,0.71306,0.56987,0.67499,0.40132,1.33726,1.44203,1.77232,0.000296929,0.000296929,0.000296929
21,24068.4,1.12894,1.45254,1.48795,0.67618,0.63632,0.69011,0.42246,1.34553,1.35894,1.78602,0.000287504,0.000287504,0.000287504
22,25199.3,1.11706,1.44135,1.47781,0.68824,0.6203,0.67412,0.41905,1.30949,1.34777,1.76631,0.000278079,0.000278079,0.000278079
23,26319.7,1.10836,1.43242,1.46732,0.62803,0.68269,0.71481,0.43248,1.323,1.3614,1.78563,0.000268654,0.000268654,0.000268654
24,27443.2,1.08921,1.37336,1.44765,0.71253,0.67078,0.7115,0.45256,1.30746,1.23756,1.75655,0.00025923,0.00025923,0.00025923
25,28564.2,1.087,1.36766,1.44692,0.74384,0.66134,0.74262,0.46349,1.2591,1.23206,1.71995,0.000249805,0.000249805,0.000249805
26,29687.4,1.05418,1.30443,1.42052,0.65016,0.74609,0.75014,0.4645,1.27888,1.24109,1.73336,0.00024038,0.00024038,0.00024038
27,30799.5,1.04662,1.28418,1.41081,0.6679,0.72887,0.7535,0.4737,1.24291,1.16605,1.69396,0.000230955,0.000230955,0.000230955
